Date,Revenue,Orders,Traffic_Source,User_Type,Conversion_Rate
2026-01-10,1240,12,Direct,Free,3.2
2026-01-11,1560,18,Social,Premium,4.1
2026-01-12,1100,10,Search,Enterprise,2.8
2026-01-13,1890,22,Referral,Free,5.4
2026-01-14,2100,25,Direct,Premium,4.9
2026-01-15,1450,15,Social,Free,3.5
2026-01-16,1980,21,Search,Premium,4.2
2026-01-17,2300,28,Direct,Enterprise,5.1
2026-01-18,1720,19,Referral,Free,3.9
2026-01-19,1650,17,Social,Premium,3.7
2026-01-20,2500,30,Direct,Enterprise,5.8
2026-01-21,2100,24,Search,Free,4.5
2026-01-22,1850,20,Social,Premium,4.0
2026-01-23,2200,26,Direct,Enterprise,5.0
2026-01-24,1950,22,Referral,Free,4.3
2026-01-25,2400,29,Search,Premium,5.2
2026-01-26,2750,33,Direct,Enterprise,6.1
2026-01-27,2150,25,Social,Free,4.6
2026-01-28,2600,31,Search,Premium,5.5
2026-01-29,3100,38,Direct,Enterprise,6.8
2026-01-30,2850,34,Referral,Free,5.9
